word,valence_l1,arousal_l1,valence_l2,arousal_l2,gap_valence,gap_arousal,gap_mag,abs_gap_valence,abs_gap_arousal
masked,5.14,4.0,3.6,5.65,-1.5399999999999996,1.6500000000000004,2.2570112981551507,1.5399999999999996,1.6500000000000004
decide,6.28,3.1,4.75,4.91,-1.5300000000000002,1.81,2.370021096952515,1.5300000000000002,1.81
mug,4.16,3.83,5.69,4.38,1.5300000000000002,0.5499999999999998,1.6258536219475603,1.5300000000000002,0.5499999999999998
wolf,6.26,5.25,4.74,5.39,-1.5199999999999996,0.1399999999999996,1.5264337522473743,1.5199999999999996,0.1399999999999996
extortion,2.15,4.56,3.66,4.62,1.5100000000000002,0.0600000000000005,1.5111915828246267,1.5100000000000002,0.0600000000000005
unlimited,6.16,4.52,7.67,5.94,1.5099999999999998,1.4200000000000008,2.0728000385951373,1.5099999999999998,1.4200000000000008
inhale,5.36,4.43,6.87,3.76,1.5099999999999998,-0.6699999999999999,1.6519685227025362,1.5099999999999998,0.6699999999999999
tremendous,7.0,3.54,5.5,5.58,-1.5,2.04,2.532113741521103,1.5,2.04
funk,3.2,4.52,4.7,4.89,1.5,0.3700000000000001,1.544959546395957,1.5,0.3700000000000001
scenery,6.18,4.43,7.67,3.82,1.4900000000000002,-0.6099999999999999,1.6100310556011026,1.4900000000000002,0.6099999999999999
immigration,4.0,4.22,5.49,4.9,1.4900000000000002,0.6800000000000006,1.6378339354159206,1.4900000000000002,0.6800000000000006
isolate,4.35,4.6,2.86,3.52,-1.4899999999999998,-1.0799999999999996,1.840244548966251,1.4899999999999998,1.0799999999999996
busy,5.41,4.52,3.93,5.76,-1.48,1.2400000000000002,1.9308029417835475,1.48,1.2400000000000002
risk,5.17,6.43,3.71,5.05,-1.46,-1.38,2.008979840615629,1.46,1.38
concentrate,6.46,5.11,5.0,4.12,-1.46,-0.9900000000000002,1.7640011337864836,1.46,0.9900000000000002
hospitality,7.27,3.33,5.81,4.77,-1.46,1.4399999999999995,2.0506584308460534,1.46,1.4399999999999995
salary,6.42,4.86,7.87,6.06,1.4500000000000002,1.1999999999999993,1.8821530224718708,1.4500000000000002,1.1999999999999993
wake,6.57,3.8,5.13,4.88,-1.4400000000000004,1.08,1.8000000000000005,1.4400000000000004,1.08
service,6.83,2.95,5.41,4.18,-1.42,1.2299999999999995,1.8786431273661317,1.42,1.2299999999999995
flattering,7.14,4.92,5.73,5.5,-1.4099999999999993,0.5800000000000001,1.5246311029229327,1.4099999999999993,0.5800000000000001
