,abs_delta_arousal,abs_delta_arousal,abs_delta_arousal,abs_delta_valence,abs_delta_valence,abs_delta_valence,delta_affect_shift_mag,delta_affect_shift_mag,delta_affect_shift_mag,delta_arousal,delta_arousal,delta_arousal,delta_valence,delta_valence,delta_valence
perturbation,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap
original_post_id,,,,,,,,,,,,,,,
10431rn,0.013856940320667643,0.023193931084543706,0.04509612661204487,0.00544367526233458,0.01341285438718387,0.03162058144490132,0.01488786067278634,0.026792967397553418,0.055077416481923144,0.013856940320667643,-0.023193931084543706,0.04509612661204487,-0.00544367526233458,-0.01341285438718387,0.03162058144490132
104acl4,0.029551778102925308,0.04015284523209539,0.015851652944389727,0.012714301722434485,0.004851164419776843,0.028040661489650454,0.03217081064153709,0.04044483621502644,0.03221107880600315,-0.029551778102925308,-0.04015284523209539,-0.015851652944389727,-0.012714301722434485,-0.004851164419776843,-0.028040661489650454
104aln0,0.04134414629844141,0.09704411904425303,0.2638508257385439,0.05339926159355901,0.11742065376857802,0.03788470078799655,0.067533840197965,0.15233243572041846,0.2665567646800724,-0.04134414629844141,-0.09704411904425303,0.2638508257385439,-0.05339926159355901,-0.11742065376857802,-0.03788470078799655
104ba3o,0.04239387979342357,0.048104804333204854,0.04335029022718562,0.05133916696374552,0.016916087990926698,0.009748470039481205,0.06658041084636371,0.05099241348330847,0.044432874438774354,0.04239387979342357,-0.048104804333204854,0.04335029022718562,0.05133916696374552,-0.016916087990926698,-0.009748470039481205
104fyz8,0.04680387917023676,0.11456185940197994,0.007054047087168058,0.020366590679016028,0.0700827545092082,0.04609864482838333,0.05104313001049901,0.13429822079698958,0.04663522955150341,-0.04680387917023676,0.11456185940197994,-0.007054047087168058,-0.020366590679016028,0.0700827545092082,-0.04609864482838333
104i3ik,0.09001105626936301,0.06436823663118219,0.07576480295318255,0.0763432663695438,0.04365807151636858,0.12259983579259792,0.11802662653273435,0.07777722735824553,0.14412156362913411,-0.09001105626936301,-0.06436823663118219,-0.07576480295318255,-0.0763432663695438,-0.04365807151636858,-0.12259983579259792
104kf75,0.011917316572014336,0.03393735847305557,0.09967438482269042,0.05687244438934158,0.08228555258769887,0.042885843425521486,0.05810763603087256,0.08900930549550216,0.10850888699134335,0.011917316572014336,0.03393735847305557,0.09967438482269042,-0.05687244438934158,-0.08228555258769887,0.042885843425521486
104s2pp,0.025860930759359135,0.05544002089043065,0.04093088841455117,0.019926450159204023,0.005114888692254738,0.023930315778232014,0.032647375938773544,0.05567547038566933,0.04741305347317698,0.025860930759359135,-0.05544002089043065,0.04093088841455117,0.019926450159204023,0.005114888692254738,0.023930315778232014
104wrxg,0.07304401125196236,0.013696114084790878,0.03028871803860156,0.013793386068345015,0.03444013602550555,0.015659868705945046,0.07433495193384615,0.03706354692253471,0.03409747686133601,0.07304401125196236,0.013696114084790878,-0.03028871803860156,-0.013793386068345015,-0.03444013602550555,-0.015659868705945046
104zale,0.3076898633210172,0.26810880684504035,0.2136775119652814,0.21180639620060848,0.1433656553527598,0.20327578295184967,0.37354384141890945,0.3040329644012265,0.294922232214461,0.3076898633210172,0.26810880684504035,0.2136775119652814,0.21180639620060848,0.1433656553527598,0.20327578295184967
