strata_col,strata_level,metric,comparison,n_pairs,mean_a,mean_b,mean_diff_a_minus_b,wilcoxon_stat,p_value
selected_hit_count,6,delta_affect_shift_mag,mask vs replacement_lowgap,45,0.3008875402806503,0.38647240876932765,-0.08558486848867716,294.0,0.010857259576937395
selected_hit_count,6,delta_affect_shift_mag,mask vs deletion,45,0.3008875402806503,0.31456839168513995,-0.01368085140448961,418.0,0.2666189814925133
selected_hit_count,6,delta_affect_shift_mag,replacement_lowgap vs deletion,45,0.38647240876932765,0.31456839168513995,0.07190401708418755,339.0,0.04375653834745208
selected_hit_count,7,abs_delta_valence,mask vs replacement_lowgap,15,0.253649825998067,0.3991353008854547,-0.14548547488738767,25.0,0.04791259765625
selected_hit_count,7,abs_delta_valence,mask vs deletion,15,0.253649825998067,0.24607804228365607,0.007571783714410933,48.0,0.52447509765625
selected_hit_count,7,abs_delta_valence,replacement_lowgap vs deletion,15,0.3991353008854547,0.24607804228365607,0.1530572586017986,22.0,0.0301513671875
selected_hit_count,7,abs_delta_arousal,mask vs replacement_lowgap,15,0.15917390402967488,0.15482288887271836,0.004351015156956558,52.0,0.67877197265625
selected_hit_count,7,abs_delta_arousal,mask vs deletion,15,0.15917390402967488,0.16064187026124907,-0.0014679662315741767,53.0,0.7197265625
selected_hit_count,7,abs_delta_arousal,replacement_lowgap vs deletion,15,0.15482288887271836,0.16064187026124907,-0.0058189813885307345,48.0,0.52447509765625
selected_hit_count,7,delta_affect_shift_mag,mask vs replacement_lowgap,15,0.34157164309290305,0.4620179200228998,-0.12044627692999671,40.0,0.27685546875
selected_hit_count,7,delta_affect_shift_mag,mask vs deletion,15,0.34157164309290305,0.34452997035772587,-0.002958327264822817,60.0,1.0
selected_hit_count,7,delta_affect_shift_mag,replacement_lowgap vs deletion,15,0.4620179200228998,0.34452997035772587,0.11748794966517388,34.0,0.15142822265625
selected_hit_count,8,abs_delta_valence,mask vs replacement_lowgap,12,0.15763677082411712,0.3733433250175957,-0.21570655419347853,7.0,0.00927734375
selected_hit_count,8,abs_delta_valence,mask vs deletion,12,0.15763677082411712,0.21907317258673462,-0.061436401762617464,6.0,0.0068359375
selected_hit_count,8,abs_delta_valence,replacement_lowgap vs deletion,12,0.3733433250175957,0.21907317258673462,0.1542701524308611,9.0,0.01611328125
selected_hit_count,8,abs_delta_arousal,mask vs replacement_lowgap,12,0.16416009053944838,0.19634939657476314,-0.032189306035314745,38.0,0.9697265625
selected_hit_count,8,abs_delta_arousal,mask vs deletion,12,0.16416009053944838,0.15816394579026274,0.005996144749185639,37.0,0.90966796875
selected_hit_count,8,abs_delta_arousal,replacement_lowgap vs deletion,12,0.19634939657476314,0.15816394579026274,0.038185450784500384,31.0,0.5693359375
selected_hit_count,8,delta_affect_shift_mag,mask vs replacement_lowgap,12,0.24732801014332254,0.4364089666655165,-0.18908095652219392,10.0,0.02099609375
selected_hit_count,8,delta_affect_shift_mag,mask vs deletion,12,0.24732801014332254,0.29794664551002953,-0.05061863536670705,13.0,0.04248046875
selected_hit_count,8,delta_affect_shift_mag,replacement_lowgap vs deletion,12,0.4364089666655165,0.29794664551002953,0.13846232115548687,14.0,0.05224609375
selected_hit_count,9,abs_delta_valence,mask vs replacement_lowgap,4,0.1283207318746552,0.2883058784175383,-0.1599851465428831,,
selected_hit_count,9,abs_delta_valence,mask vs deletion,4,0.1283207318746552,0.11086308120297095,0.017457650671684255,,
selected_hit_count,9,abs_delta_valence,replacement_lowgap vs deletion,4,0.2883058784175383,0.11086308120297095,0.17744279721456735,,
selected_hit_count,9,abs_delta_arousal,mask vs replacement_lowgap,4,0.20676030375848709,0.09217105839450901,0.11458924536397808,,
selected_hit_count,9,abs_delta_arousal,mask vs deletion,4,0.20676030375848709,0.11911274850898501,0.08764755524950207,,
selected_hit_count,9,abs_delta_arousal,replacement_lowgap vs deletion,4,0.09217105839450901,0.11911274850898501,-0.026941690114476002,,
